 (9.932148552380880568e-01+0.000000000000000000e+00j)  (1.582517943018012284e-03-6.963710289873792196e-03j)  (1.582517943018012284e-03+6.963710289873792196e-03j)  (1.765249558765583050e-04+0.000000000000000000e+00j)
 (-1.199300456373085522e-02-3.291594860356777692e-03j)  (-1.484008713869467430e-03-1.098158492717254920e-03j)  (-2.967423938309966358e-04+1.637181063782726202e-03j)  (2.220443978085526637e-06+1.011357071537705583e-04j)
 (-1.199300456373085522e-02+3.291594860356777692e-03j)  (-2.967423938309966358e-04-1.637181063782726202e-03j)  (-1.484008713869467430e-03+1.098158492717254920e-03j)  (2.220443978085526637e-06-1.011357071537705583e-04j)
 (7.849121291141678003e-02+0.000000000000000000e+00j)  (2.445204834677507750e-04-1.442869439618181754e-03j)  (2.445204834677507750e-04+1.442869439618181754e-03j)  (4.286189292665411798e-04+0.000000000000000000e+00j)
 (9.056825842226659193e-03+1.042652412757549135e-02j)  (5.149400250042816471e-03+8.196605712658231943e-03j)  (-2.151173260437428878e-04+1.519470882668409045e-03j)  (-1.140557116686615607e-03-2.021541455621218668e-03j)
 (3.007263850305611115e-04+1.892654866493147540e-03j)  (-3.396946073709914988e-03+9.469791773598763146e-03j)  (-1.759100004415002855e-04+4.356089751247061684e-05j)  (1.194887852608376695e-04+2.268285823639905178e-04j)
 (6.251416437651818869e-02-4.899175755819008479e-03j)  (4.385891812689070822e-03+2.857056602112359716e-03j)  (2.845587409480363470e-04+1.105958645755119717e-03j)  (-3.211892751195993476e-03+2.757418044488277840e-04j)
 (7.585672279349048135e-03+1.599784445058770148e-03j)  (-4.768316565886618688e-03-7.795072444732196494e-03j)  (-3.558835626935836572e-04-3.442538830339287865e-04j)  (3.266550837995463178e-04-7.162283751852410165e-04j)
 (9.056825842226659193e-03-1.042652412757549135e-02j)  (-2.151173260437428878e-04-1.519470882668409045e-03j)  (5.149400250042816471e-03-8.196605712658231943e-03j)  (-1.140557116686615607e-03+2.021541455621218668e-03j)
 (6.251416437651818869e-02+4.899175755819008479e-03j)  (2.845587409480363470e-04-1.105958645755119717e-03j)  (4.385891812689070822e-03-2.857056602112359716e-03j)  (-3.211892751195993476e-03-2.757418044488277840e-04j)
 (3.007263850305611115e-04-1.892654866493147540e-03j)  (-1.759100004415002855e-04-4.356089751247061684e-05j)  (-3.396946073709914988e-03-9.469791773598763146e-03j)  (1.194887852608376695e-04-2.268285823639905178e-04j)
 (7.585672279349048135e-03-1.599784445058770148e-03j)  (-3.558835626935836572e-04+3.442538830339287865e-04j)  (-4.768316565886618688e-03+7.795072444732196494e-03j)  (3.266550837995463178e-04+7.162283751852410165e-04j)
